2025-09-12 20:26:41 | INFO | Dog 'Nimeria' is a 2-year-old German Shepherd who loves 'Stuffie'.
2025-09-12 20:26:41 | INFO | Updated toy counts: {'Squeaky toy': 1, 'Frisbee': 5, 'Stick': 3, 'Tennis ball': 1, 'Stuffie': 3, 'Rope': 4}
2025-09-12 20:26:45 | INFO | Sent message to topic 'dogs_topic': {'name': 'Harley', 'breed': 'Bulldog', 'age': 1, 'favorite_toy': 'Stuffie'}
2025-09-12 20:26:45 | INFO | Processed Dog JSON: {'name': 'Harley', 'breed': 'Bulldog', 'age': 1, 'favorite_toy': 'Stuffie'}
2025-09-12 20:26:45 | INFO | Dog 'Harley' is a 1-year-old Bulldog who loves 'Stuffie'.
2025-09-12 20:26:45 | INFO | Updated toy counts: {'Squeaky toy': 1, 'Frisbee': 5, 'Stick': 3, 'Tennis ball': 1, 'Stuffie': 4, 'Rope': 4}
2025-09-12 20:26:49 | INFO | Sent message to topic 'dogs_topic': {'name': 'Nimeria', 'breed': 'Golden Retriever', 'age': 15, 'favorite_toy': 'Stick'}
2025-09-12 20:26:49 | INFO | Processed Dog JSON: {'name': 'Nimeria', 'breed': 'Golden Retriever', 'age': 15, 'favorite_toy': 'Stick'}
2025-09-12 20:26:49 | INFO | Dog 'Nimeria' is a 15-year-old Golden Retriever who loves 'Stick'.
2025-09-12 20:26:49 | INFO | Updated toy counts: {'Squeaky toy': 1, 'Frisbee': 5, 'Stick': 4, 'Tennis ball': 1, 'Stuffie': 4, 'Rope': 4}
2025-09-12 20:26:53 | INFO | Sent message to topic 'dogs_topic': {'name': 'Louie', 'breed': 'German Shepherd', 'age': 13, 'favorite_toy': 'Stick'}
2025-09-12 20:26:53 | INFO | Processed Dog JSON: {'name': 'Louie', 'breed': 'German Shepherd', 'age': 13, 'favorite_toy': 'Stick'}
2025-09-12 20:26:53 | INFO | Dog 'Louie' is a 13-year-old German Shepherd who loves 'Stick'.
2025-09-12 20:26:53 | INFO | Updated toy counts: {'Squeaky toy': 1, 'Frisbee': 5, 'Stick': 5, 'Tennis ball': 1, 'Stuffie': 4, 'Rope': 4}
2025-09-12 20:26:57 | INFO | Sent message to topic 'dogs_topic': {'name': 'Daisy', 'breed': 'Bulldog', 'age': 15, 'favorite_toy': 'Frisbee'}
2025-09-12 20:26:57 | INFO | Processed Dog JSON: {'name': 'Daisy', 'breed': 'Bulldog', 'age': 15, 'favorite_toy': 'Frisbee'}
2025-09-12 20:26:57 | INFO | Dog 'Daisy' is a 15-year-old Bulldog who loves 'Frisbee'.
2025-09-12 20:26:57 | INFO | Updated toy counts: {'Squeaky toy': 1, 'Frisbee': 6, 'Stick': 5, 'Tennis ball': 1, 'Stuffie': 4, 'Rope': 4}
2025-09-12 20:27:01 | INFO | Sent message to topic 'dogs_topic': {'name': 'Nimeria', 'breed': 'Bulldog', 'age': 10, 'favorite_toy': 'Frisbee'}
2025-09-12 20:27:01 | INFO | Processed Dog JSON: {'name': 'Nimeria', 'breed': 'Bulldog', 'age': 10, 'favorite_toy': 'Frisbee'}
2025-09-12 20:27:01 | INFO | Dog 'Nimeria' is a 10-year-old Bulldog who loves 'Frisbee'.
2025-09-12 20:27:01 | INFO | Updated toy counts: {'Squeaky toy': 1, 'Frisbee': 7, 'Stick': 5, 'Tennis ball': 1, 'Stuffie': 4, 'Rope': 4}
2025-09-12 20:27:05 | INFO | Sent message to topic 'dogs_topic': {'name': 'Duke', 'breed': 'Bulldog', 'age': 7, 'favorite_toy': 'Rope'}
2025-09-12 20:27:05 | INFO | Processed Dog JSON: {'name': 'Duke', 'breed': 'Bulldog', 'age': 7, 'favorite_toy': 'Rope'}
2025-09-12 20:27:05 | INFO | Dog 'Duke' is a 7-year-old Bulldog who loves 'Rope'.
2025-09-12 20:27:05 | INFO | Updated toy counts: {'Squeaky toy': 1, 'Frisbee': 7, 'Stick': 5, 'Tennis ball': 1, 'Stuffie': 4, 'Rope': 5}
2025-09-12 20:27:09 | INFO | Sent message to topic 'dogs_topic': {'name': 'Bailey', 'breed': 'Poodle', 'age': 6, 'favorite_toy': 'Stuffie'}
2025-09-12 20:27:09 | INFO | Processed Dog JSON: {'name': 'Bailey', 'breed': 'Poodle', 'age': 6, 'favorite_toy': 'Stuffie'}
2025-09-12 20:27:09 | INFO | Dog 'Bailey' is a 6-year-old Poodle who loves 'Stuffie'.
2025-09-12 20:27:09 | INFO | Updated toy counts: {'Squeaky toy': 1, 'Frisbee': 7, 'Stick': 5, 'Tennis ball': 1, 'Stuffie': 5, 'Rope': 5}
2025-09-12 20:27:11 | WARNING | Consumer interrupted by user.
2025-09-12 20:27:11 | INFO | Kafka consumer for topic 'dogs_topic' closed.
2025-09-12 20:27:11 | INFO | Final toy counts: {'Squeaky toy': 1, 'Frisbee': 7, 'Stick': 5, 'Tennis ball': 1, 'Stuffie': 5, 'Rope': 5}
2025-09-12 20:27:11 | INFO | END consumer for topic 'dogs_topic' and group 'dog_group'.
2025-09-12 20:27:13 | INFO | Sent message to topic 'dogs_topic': {'name': 'Daisy', 'breed': 'Labrador', 'age': 12, 'favorite_toy': 'Stick'}
2025-09-12 20:27:16 | WARNING | Producer interrupted by user.
2025-09-12 20:27:16 | INFO | Kafka producer closed.
2025-09-12 20:27:16 | INFO | END dog producer.
